profile,macro_state_label,persona_risk_tolerance,persona_time_horizon,persona_loss_aversion,persona_macro_sensitivity,inflation,cycle,unemployment,monetary,stress,ideal_Mkt-RF,ideal_SMB,ideal_HML,ideal_RMW,ideal_CMA,ideal_Alpha
Aggressive,Expansion,0.582955655,0.604234755,0.4461864075,0.390275985,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.1238618613005265,0.28512564760428105,0.057456235343137596,0.12555111005559,-0.05480049265458022,0.012964630742689592
Balanced,Expansion,0.57175292,0.604234755,0.457128405,0.390275985,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.0988224803020183,0.24706942740253213,0.1279744884719005,0.13050403678579803,-0.02871107165175906,0.012551986583921268
Conservative,Expansion,0.4932087525,0.604234755,0.4687203225,0.390275985,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,0.9662520964628917,0.04922036012550762,0.4689895255868798,0.16905121597136108,0.10610366505021651,0.011056895630259939
Macro-Sensitive,Expansion,0.57175292,0.604234755,0.457128405,0.419892245,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.0755800562068867,0.21279493214907708,0.19355355080287967,0.13386916402983468,-0.005274250631730301,0.012043583974549061
Aggressive,Inflationary Tightening,0.582955655,0.604234755,0.4461864075,0.390275985,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.0725622106145587,0.2048032462653608,0.19204029660298236,0.14333113053103777,0.00021917929032767153,0.01273011038089866
Balanced,Inflationary Tightening,0.57175292,0.604234755,0.457128405,0.390275985,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.0475228296160508,0.16674702606361186,0.2625585497317453,0.14828405726124583,0.026308600293148868,0.012317466222130336
Conservative,Inflationary Tightening,0.4932087525,0.604234755,0.4687203225,0.390275985,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,0.9149524457769239,-0.031102041213412618,0.6035735868467246,0.18683123644680888,0.1611233369951244,0.010822375268469004
Macro-Sensitive,Inflationary Tightening,0.57175292,0.604234755,0.457128405,0.419892245,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.024280405520919,0.1324725308101568,0.3281376120627245,0.15164918450528245,0.04974542131317762,0.011809063612758129
Aggressive,Neutral,0.582955655,0.604234755,0.4461864075,0.390275985,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.0726174173575975,0.2559007923520922,0.04683127794947867,0.15993024658386312,-0.04054879958928099,0.011821597994135588
Balanced,Neutral,0.57175292,0.604234755,0.457128405,0.390275985,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.0475780363590894,0.2178445721503432,0.11734953107824156,0.16488317331407115,-0.014459378586459813,0.011408953835367263
Conservative,Neutral,0.4932087525,0.604234755,0.4687203225,0.390275985,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,0.9150076525199626,0.019995504873318692,0.45836456819322086,0.2034303524996342,0.12035535811551573,0.009913862881705933
Macro-Sensitive,Neutral,0.57175292,0.604234755,0.457128405,0.419892245,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.0243356122639575,0.18357007689688812,0.18292859340922077,0.1682483005581078,0.008977442433568947,0.010900551225995057
Aggressive,Recession,0.582955655,0.604234755,0.4461864075,0.390275985,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,1.009927962543209,0.17089199974556643,0.17901156224631437,0.1833567046886412,0.01629008536032836,0.011125750469992701
Balanced,Recession,0.57175292,0.604234755,0.457128405,0.390275985,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,0.9848885815447009,0.13283577954381745,0.24952981537507726,0.18830963141884927,0.042379506363149536,0.010713106311224378
Conservative,Recession,0.4932087525,0.604234755,0.4687203225,0.390275985,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,0.8523181977055742,-0.06501328773320705,0.5905448524900565,0.22685681060441232,0.1771942430651251,0.009218015357563048
Macro-Sensitive,Recession,0.57175292,0.604234755,0.457128405,0.419892245,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,0.961646157449569,0.0985612842903624,0.31510887770605644,0.19167475866288589,0.06581632738317829,0.01020470370185217
