feature,Mkt-RF,SMB,HML,RMW,CMA,Alpha
persona_risk_tolerance,0.07130569873500146,0.10592760640387282,-0.1790703855286983,-0.022391555477627164,-0.07206683788303056,0.0007113756803679086
persona_time_horizon,-0.05190354029714353,-0.07547849140999362,0.09826661516819052,0.030732077344198368,0.050646287297750156,0.00039494747267224166
persona_loss_aversion,-0.01914427097675209,-0.03071706921913258,0.06832022166841241,-0.0017019593526904752,0.021423536456329943,-0.0006226429907300007
persona_macro_sensitivity,-0.02961983201337194,-0.043678954811047,0.08357307318236656,0.004288472805763127,0.029867568834445146,-0.0006479014333069851
inflation,0.007141418188098901,0.005222660951419765,0.000498189632713732,-0.005574926530162857,-0.002860993899239139,6.0340108130956786e-05
cycle,0.004339286279633499,0.006836881561008613,-0.013080210311615421,-0.0006925137806193895,-0.004717433830915931,7.30991544205569e-05
unemployment,-0.01543497137211036,-0.016559521037008747,0.016920093531747095,0.008809807919044947,0.01044670648485086,-0.00013959778935260502
monetary,0.0005499436100629152,-0.004540982693212491,0.010980695934555354,-0.0004621997691538823,0.0036662675238367513,0.0001995587550374059
stress,-0.008437308060815059,-0.009058110965007643,0.011449932064401789,0.003707991985356519,0.005756228466629953,-0.0001510999651273823
state_Expansion,0.005714935685734492,0.005068277127717137,-0.0035985828894339496,-0.0034275308999125067,-0.0030263177987015096,8.286423203673297e-05
state_Inflationary Tightening,-0.0065336110134480456,-0.0139008834351282,0.026802251232760425,0.0014624924414221635,0.009922359153595092,6.220777621965578e-05
state_Neutral,0.005580136893648816,0.01182301568600498,-0.023808622787771412,-0.0007294114021208915,-0.008454821019369771,-1.5966697541474308e-05
state_Recession,-0.006288987883396737,-0.007860203344486486,0.011741595168062672,0.002374994130365341,0.005176203616821403,-9.475830157576499e-05
