investor_id,Date,year,quarter,macro_state_label,split,persona_risk_tolerance,persona_time_horizon,persona_loss_aversion,persona_macro_sensitivity,inflation,cycle,unemployment,monetary,stress,Year_Qtr,Mkt-RF,SMB,HML,RMW,CMA,Alpha,state_Expansion,state_Inflationary Tightening,state_Neutral,state_Recession
INV_BARON,4Q02,2002,4,Recession,train,0.574404,0.60671353,0.40284678,0.39197138,0.45,0.14,0.67,0.55,0.95,2002-Q4,1.15,0.39,-0.44,0.14,-0.24,0.015,0.0,0.0,0.0,1.0
INV_BARON,1Q03,2003,1,Recession,train,0.58538496,0.6064668,0.39531675,0.38519472,0.33,0.38,0.67,0.52,0.92,2003-Q1,1.13,0.35,-0.4,0.1,-0.2,0.013,0.0,0.0,0.0,1.0
INV_BARON,2Q03,2003,2,Neutral,train,0.5976033,0.6047903,0.39017674,0.3813087,0.13,0.76,0.72,0.5,0.7,2003-Q2,1.11,0.32,-0.37,0.07,-0.17,0.011,0.0,0.0,1.0,0.0
INV_BARON,3Q03,2003,3,Neutral,train,0.6017864,0.60581225,0.3867418,0.3787496,0.07,0.97,0.72,0.47,0.58,2003-Q3,1.2,0.45,-0.5,0.2,-0.3,0.018,0.0,0.0,1.0,0.0
INV_BARON,4Q03,2003,4,Neutral,train,0.60263205,0.6057297,0.38840446,0.37812015,0.05,0.9,0.65,0.44,0.48,2003-Q4,1.18,0.42,-0.47,0.17,-0.27,0.016,0.0,0.0,1.0,0.0
INV_BARON,1Q04,2004,1,Neutral,train,0.602058,0.6107161,0.38807273,0.3737328,0.04,0.43,0.61,0.45,0.42,2004-Q1,1.16,0.38,-0.43,0.13,-0.23,0.014,0.0,0.0,1.0,0.0
INV_BARON,2Q04,2004,2,Neutral,train,0.6019368,0.60889965,0.3887992,0.37500957,0.18,0.62,0.6,0.46,0.39,2004-Q2,1.14,0.35,-0.4,0.1,-0.2,0.012,0.0,0.0,1.0,0.0
INV_BARON,3Q04,2004,3,Neutral,train,0.6003062,0.60920864,0.3905473,0.37542257,0.3,0.79,0.56,0.53,0.33,2004-Q3,1.22,0.48,-0.53,0.23,-0.33,0.019,0.0,0.0,1.0,0.0
INV_BARON,4Q04,2004,4,Neutral,train,0.5980875,0.61008376,0.38870844,0.37657288,0.4,0.83,0.56,0.62,0.17,2004-Q4,1.2,0.45,-0.5,0.2,-0.3,0.017,0.0,0.0,1.0,0.0
INV_BARON,1Q05,2005,1,Inflationary Tightening,train,0.59714097,0.61415714,0.39196002,0.371828,0.62,0.86,0.53,0.71,0.09,2005-Q1,1.18,0.41,-0.46,0.16,-0.26,0.015,0.0,1.0,0.0,0.0
INV_BARON,2Q05,2005,2,Neutral,train,0.5959987,0.6143426,0.39176023,0.3729132,0.55,0.35,0.5,0.72,0.14,2005-Q2,1.16,0.38,-0.43,0.13,-0.23,0.013,0.0,0.0,1.0,0.0
INV_BARON,3Q05,2005,3,Neutral,train,0.5963309,0.6117032,0.38977265,0.3751172,0.4,0.64,0.46,0.74,0.06,2005-Q3,1.25,0.5,-0.55,0.25,-0.35,0.02,0.0,0.0,1.0,0.0
INV_BARON,4Q05,2005,4,Neutral,train,0.59524816,0.6113869,0.3896143,0.37520927,0.4,0.41,0.46,0.79,0.1,2005-Q4,1.23,0.47,-0.52,0.22,-0.32,0.018,0.0,0.0,1.0,0.0
INV_BARON,1Q06,2006,1,Expansion,train,0.59051275,0.6165234,0.39379808,0.3731075,0.45,0.95,0.39,0.84,0.05,2006-Q1,1.21,0.43,-0.48,0.18,-0.28,0.016,1.0,0.0,0.0,0.0
INV_BARON,2Q06,2006,2,Inflationary Tightening,train,0.59078026,0.6155635,0.39392787,0.3753013,0.6,0.24,0.35,0.88,0.26,2006-Q2,1.19,0.4,-0.45,0.15,-0.25,0.014,0.0,1.0,0.0,0.0
INV_BARON,3Q06,2006,3,Inflationary Tightening,train,0.5932537,0.61234397,0.3971993,0.37672758,0.79,0.18,0.35,0.93,0.16,2006-Q3,1.28,0.52,-0.58,0.27,-0.37,0.021,0.0,1.0,0.0,0.0
INV_BARON,4Q06,2006,4,Expansion,train,0.5930277,0.61286145,0.39598694,0.37778285,0.82,0.73,0.31,0.91,0.02,2006-Q4,1.26,0.49,-0.55,0.24,-0.34,0.019,1.0,0.0,0.0,0.0
INV_BARON,1Q07,2007,1,Inflationary Tightening,train,0.60058063,0.6034642,0.3914335,0.38213494,0.77,0.27,0.33,0.95,0.07,2007-Q1,1.24,0.45,-0.5,0.2,-0.3,0.017,0.0,1.0,0.0,0.0
INV_BARON,2Q07,2007,2,Inflationary Tightening,train,0.6040552,0.6000666,0.38595083,0.38329476,0.66,0.48,0.33,0.92,0.2,2007-Q2,1.22,0.42,-0.47,0.17,-0.27,0.015,0.0,1.0,0.0,0.0
INV_BARON,3Q07,2007,3,Neutral,train,0.6045283,0.59908074,0.38677964,0.38630033,0.49,0.43,0.37,0.9,0.69,2007-Q3,1.31,0.55,-0.6,0.3,-0.4,0.022,0.0,0.0,1.0,0.0
INV_BARON,4Q07,2007,4,Neutral,train,0.60729873,0.59845793,0.39012718,0.38333523,0.53,0.48,0.41,0.85,0.72,2007-Q4,1.29,0.52,-0.57,0.27,-0.37,0.02,0.0,0.0,1.0,0.0
INV_BARON,1Q08,2008,1,Inflationary Tightening,train,0.58802485,0.6051382,0.43238142,0.37709528,0.7,0.05,0.48,0.73,0.86,2008-Q1,1.15,0.35,-0.4,0.1,-0.2,0.01,0.0,1.0,0.0,0.0
INV_BARON,2Q08,2008,2,Inflationary Tightening,train,0.5930069,0.6038388,0.4360679,0.3741855,0.66,0.47,0.54,0.64,0.65,2008-Q2,1.12,0.32,-0.38,0.08,-0.18,0.008,0.0,1.0,0.0,0.0
