split,factor,rmse,mae,r2
test,Mkt-RF,0.13261684656344963,0.11106895086447585,0.050838989124506684
test,SMB,0.22004652181881232,0.16493498051649175,0.07231891236551236
test,HML,0.3640435019251572,0.317162821610728,0.3624190891801783
test,RMW,0.13225327819789634,0.101686385679818,-0.17340573673386928
test,CMA,0.159162072855108,0.12658519960318504,0.28250177384274566
test,Alpha,0.005168140294340985,0.003920345045937018,0.09329754106063426
train,Mkt-RF,0.10692055903437135,0.08361041955262441,0.4399229646234769
train,SMB,0.18575110728178806,0.1362848126912558,0.35624028488632464
train,HML,0.37362166166948596,0.32128308148847223,0.3265979698786944
train,RMW,0.1436261408574169,0.10333833488695676,0.044636344121764204
train,CMA,0.1577291912180643,0.12063845665253893,0.2635652589343752
train,Alpha,0.00596752232628207,0.002753476502109656,0.12773752787741022
