feature,Mkt-RF,SMB,HML,RMW,CMA,Alpha
persona_risk_tolerance,0.024706779211577688,0.04469297951175273,-0.10716064050794823,0.0014245454402704145,-0.02663823763712202,0.0009799065223240553
persona_time_horizon,-0.09086350202949774,-0.13735259624577073,0.22739594434938568,0.023724097360525137,0.08910557617859056,-0.001379015620318037
persona_loss_aversion,-0.005064722434201773,-0.013809843446490432,0.03197945748302699,-0.0023968283929874943,0.008993806908934943,-4.258247449104198e-05
persona_macro_sensitivity,-0.023076805998551875,-0.04521196943318117,0.11739008951084613,-0.00441627644272387,0.02645923786224931,-0.0010820339107074967
inflation,-0.0022300013856311994,-0.006932350074690773,0.013620953987370257,-0.001087312552247923,0.0048543274468542865,7.675650298254935e-05
cycle,0.006706195628721149,0.006710724333207628,-0.004789519840367156,-0.004013744584384544,-0.0044679162403201845,8.481066855838633e-05
unemployment,-0.00651961251267381,-0.0014052588645996815,-0.010964932393715583,0.006928454457994389,0.0009469608663643755,-0.0001236102953893386
monetary,0.010851502512990552,0.012279079810916528,-0.020024817200458147,-0.004430852051834061,-0.007317983862488718,0.00035592251667283396
stress,-0.008212821084426123,-0.005660084220894222,0.0002807480753225898,0.006085378463787843,0.0035350292131708485,-0.00018884001142725984
state_Expansion,0.0008904065010814948,-0.0035924962879422696,0.01219856770105298,-0.003052969425021183,0.002473114499790142,7.188818730263525e-05
state_Inflationary Tightening,-0.004638227019671188,-0.009286209173130118,0.014930777863552904,0.00042403057730436104,0.00644735536616532,5.278326512169975e-05
state_Neutral,0.005380807173443599,0.006190371098767937,-0.0005801502158368513,-0.003626213838298204,-0.004735203933885242,-0.0001042577794044508
state_Recession,-0.0039008379452219774,0.0023706245857630097,-0.02111715094060619,0.006777423060146558,-0.0010528207416902323,3.804528201980249e-05
