split,factor,rmse,mae,r2
test,Mkt-RF,0.1258226277354652,0.10889302858231957,0.1456024418714339
test,SMB,0.20354962430942938,0.16412054473393467,0.2062014584484354
test,HML,0.3490174736180704,0.3185297476108236,0.41396564004193237
test,RMW,0.13542384280529532,0.10878373723479973,-0.23034124152178714
test,CMA,0.1528439869086714,0.12871116215667894,0.3383346778219599
test,Alpha,0.005192647450836406,0.0036600604305184505,0.08467804440973248
train,Mkt-RF,0.11069504433719848,0.09209341264489393,0.39968156340440386
train,SMB,0.18999245503959772,0.15467313679610223,0.3265060748617684
train,HML,0.3857843104989539,0.33538747615062614,0.2820413228506743
train,RMW,0.1426922395131368,0.10449597944603714,0.0570200880238837
train,CMA,0.1630279458353642,0.13101468469583064,0.21325457147351135
train,Alpha,0.0060090396218552035,0.0028610840167454916,0.11555828463981244
