profile,macro_state_label,persona_risk_tolerance,persona_time_horizon,persona_loss_aversion,persona_macro_sensitivity,inflation,cycle,unemployment,monetary,stress,ideal_Mkt-RF,ideal_SMB,ideal_HML,ideal_RMW,ideal_CMA,ideal_Alpha
Aggressive,Expansion,0.573462495,0.52960655,0.55359054,0.45388034,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.1027177839756108,0.25708300529038,0.09556188920926587,0.12625445639903962,-0.033255024836690954,0.013485680862375412
Balanced,Expansion,0.5706421,0.52960655,0.5571011,0.45388034,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.0947305906172016,0.24033426607941782,0.1342043109251042,0.12459679077919486,-0.022999214872299042,0.013255791237022696
Conservative,Expansion,0.5660313475,0.52960655,0.5598793,0.45388034,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.0812609797434178,0.21440921759551618,0.19418117311513233,0.1229339724951676,-0.007355239954102491,0.012794858002492653
Macro-Sensitive,Expansion,0.5706421,0.52960655,0.5571011,0.461735155,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.0808589179925177,0.2106917684860308,0.2138017848351545,0.11947446262364614,-0.005930053904906203,0.01252827978925885
Aggressive,Inflationary Tightening,0.573462495,0.52960655,0.55359054,0.45388034,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.0668421187179569,0.22211559757382465,0.11146941407132402,0.1503234644771492,-0.00901366659259338,0.01326027289560186
Balanced,Inflationary Tightening,0.5706421,0.52960655,0.5571011,0.45388034,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.0588549253595474,0.2053668583628625,0.1501118357871624,0.14866579885730444,0.0012421433717985306,0.013030383270249144
Conservative,Inflationary Tightening,0.5660313475,0.52960655,0.5598793,0.45388034,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.0453853144857637,0.17944180987896086,0.21008869797719046,0.14700298057327718,0.016886118289995075,0.0125694500357191
Macro-Sensitive,Inflationary Tightening,0.5706421,0.52960655,0.5571011,0.461735155,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.0449832527348637,0.17572436076947548,0.22970930969721265,0.14354347070175572,0.018311304339191363,0.012302871822485299
Aggressive,Neutral,0.573462495,0.52960655,0.55359054,0.45388034,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.0713324281028764,0.2537459447027374,0.06646394965840088,0.1574676033453876,-0.03326225625489803,0.011876165883915376
Balanced,Neutral,0.5706421,0.52960655,0.5571011,0.45388034,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.063345234744467,0.23699720549177528,0.10510637137423925,0.15580993772554283,-0.023006446290506112,0.011646276258562658
Conservative,Neutral,0.5660313475,0.52960655,0.5598793,0.45388034,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.0498756238706832,0.21107215700787363,0.1650832335642673,0.15414711944151557,-0.0073624713723095675,0.011185343024032617
Macro-Sensitive,Neutral,0.5706421,0.52960655,0.5571011,0.461735155,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.049473562119783,0.20735470789838828,0.18470384528428946,0.1506876095699941,-0.00593728532311328,0.010918764810798814
Aggressive,Recession,0.573462495,0.52960655,0.55359054,0.45388034,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,1.0191617769847499,0.22722589623618156,0.013333012257200128,0.20817826443170823,-0.013120290758380913,0.011451721293222398
Balanced,Recession,0.5706421,0.52960655,0.5571011,0.45388034,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,1.0111745836263406,0.21047715702521938,0.0519754339730385,0.20652059881186347,-0.002864480793989023,0.011221831667869681
Conservative,Recession,0.5660313475,0.52960655,0.5598793,0.45388034,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,0.9977049727525569,0.18455210854131773,0.11195229616306662,0.2048577805278362,0.012779494124207511,0.010760898433339638
Macro-Sensitive,Recession,0.5706421,0.52960655,0.5571011,0.461735155,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,0.9973029110016568,0.18083465943183236,0.13157290788308879,0.20139827065631474,0.014204680173403799,0.010494320220105836
